priority,status,product,category,price,product_page,photo_source_folder,product_id
"REVIEW","NO PHOTOS","999 Fine Silver Lord Balaji Statue with Intricate Arch & Tilak Detail | Divine Home Mandir Artifact","artifacts / balaji idol","7500","/product/DuZheVyISKCaGWsSD5Yh","","DuZheVyISKCaGWsSD5Yh"
"REVIEW","NO PHOTOS","999 Pure Silver Handcrafted Elephant Pair with Intricate Artistry | Luxury Silver Showpiece on Wooden Base","artifacts / elephants","2500","/product/Rf41Ehr4ttgYBEbGpL6U","","Rf41Ehr4ttgYBEbGpL6U"
"REVIEW","NO PHOTOS","999 Pure Silver Handcrafted Elephant Pair with Intricate Artistry | Luxury Silver Showpiece on Wooden Base","artifacts / elephants","6800","/product/VfVMuFTlAV0QtTnsQAOe","","VfVMuFTlAV0QtTnsQAOe"
"REVIEW","NO PHOTOS","999 Pure Silver Handcrafted Elephant Pair with Intricate Artistry | Luxury Silver Showpiece on Wooden Base","artifacts / elephants","3500","/product/iTqUupreExTQOBSJ4fVf","","iTqUupreExTQOBSJ4fVf"
"REVIEW","NO PHOTOS","Pure 999 Silver Decorative Elephant Statues (Set of 2)","artifacts / elephants","4000","/product/ZfTSNyV6V54jDIzayNDB","","ZfTSNyV6V54jDIzayNDB"
"REVIEW","NO PHOTOS","Pure 999 Silver Decorative Elephant Statues (Set of 2)","artifacts / elephants","3000","/product/cuDlEGWOS5h38MqZpDyB","","cuDlEGWOS5h38MqZpDyB"
"REVIEW","NO PHOTOS","Silver Ganesh","artifacts / pooja items","5500","/product/UkXoVieP1k8ajoKCqIGV","","UkXoVieP1k8ajoKCqIGV"
"REVIEW","NO PHOTOS","999 Fine Silver Carved Shankhu with Embossed Vinayagar Idol & Gold Highlights | Divine Mandir Decor","artifacts / shankam","2800","/product/WOMjgWMf64y2OByXz63z","","WOMjgWMf64y2OByXz63z"
"REVIEW","NO PHOTOS","999 Fine Silver Mounted Natural White Shankhu (Conch) | Divine Home Mandir Altar Decor","artifacts / shankam","3000","/product/LI1UfGovZUBXrgFPMeui","","LI1UfGovZUBXrgFPMeui"
"REVIEW","NO PHOTOS","Pure 999 Silver Decorative Om Shankh Idol for Pooja & Premium Gifting","artifacts / shankam","2299.93","/product/QE9WCQDWur1LoNGwUOKy","","QE9WCQDWur1LoNGwUOKy"
"REVIEW","NO PHOTOS","Pure 999 Silver Decorative Om Shankh Idol for Pooja & Premium Gifting","artifacts / shankam","4400","/product/sgY1rrhiRZZaLaPi3B8O","","sgY1rrhiRZZaLaPi3B8O"
"REVIEW","NO PHOTOS","Pure 999 Silver High-Relief Ganesha Conch Shell Idol for Pooja & Premium Gifting","artifacts / shankam","2600","/product/TWCb7L7xTLcCDfrFt6QM","","TWCb7L7xTLcCDfrFt6QM"
"REVIEW","NO PHOTOS","999 Fine Silver Antique Carved Tulasi Vrindavan Stand with Ornate Legs | Divine Home Pooja Decor","artifacts / tulasi pot","38000","/product/tSKRM7IK4O7uOzbmvwXd","","tSKRM7IK4O7uOzbmvwXd"
