Status,Action needed,Product,Category,Photos,Price,Size of first photo,Edit link
"No photo","Shoot and upload: product shot, model shot, original","999 Fine Silver Lord Balaji Statue with Intricate Arch & Tilak Detail | Divine Home Mandir Artifact","Gifting / artifacts / balaji idol","0","7500","","https://www.sreerasthusilvers.com/admin/products/DuZheVyISKCaGWsSD5Yh"
"No photo","Shoot and upload: product shot, model shot, original","999 Pure Silver Handcrafted Elephant Pair with Intricate Artistry | Luxury Silver Showpiece on Wooden Base","Gifting / artifacts / elephants","0","2500","","https://www.sreerasthusilvers.com/admin/products/Rf41Ehr4ttgYBEbGpL6U"
"No photo","Shoot and upload: product shot, model shot, original","999 Pure Silver Handcrafted Elephant Pair with Intricate Artistry | Luxury Silver Showpiece on Wooden Base","Gifting / artifacts / elephants","0","6800","","https://www.sreerasthusilvers.com/admin/products/VfVMuFTlAV0QtTnsQAOe"
"No photo","Shoot and upload: product shot, model shot, original","999 Pure Silver Handcrafted Elephant Pair with Intricate Artistry | Luxury Silver Showpiece on Wooden Base","Gifting / artifacts / elephants","0","3500","","https://www.sreerasthusilvers.com/admin/products/iTqUupreExTQOBSJ4fVf"
"No photo","Shoot and upload: product shot, model shot, original","Pure 999 Silver Decorative Elephant Statues (Set of 2)","Gifting / artifacts / elephants","0","4000","","https://www.sreerasthusilvers.com/admin/products/ZfTSNyV6V54jDIzayNDB"
"No photo","Shoot and upload: product shot, model shot, original","Pure 999 Silver Decorative Elephant Statues (Set of 2)","Gifting / artifacts / elephants","0","3000","","https://www.sreerasthusilvers.com/admin/products/cuDlEGWOS5h38MqZpDyB"
"No photo","Shoot and upload: product shot, model shot, original","999 Fine Silver Carved Shankhu with Embossed Vinayagar Idol & Gold Highlights | Divine Mandir Decor","Gifting / artifacts / shankam","0","2800","","https://www.sreerasthusilvers.com/admin/products/WOMjgWMf64y2OByXz63z"
"No photo","Shoot and upload: product shot, model shot, original","999 Fine Silver Mounted Natural White Shankhu (Conch) | Divine Home Mandir Altar Decor","Gifting / artifacts / shankam","0","3000","","https://www.sreerasthusilvers.com/admin/products/LI1UfGovZUBXrgFPMeui"
"No photo","Shoot and upload: product shot, model shot, original","Pure 999 Silver Decorative Om Shankh Idol for Pooja & Premium Gifting","Gifting / artifacts / shankam","0","2299.93","","https://www.sreerasthusilvers.com/admin/products/QE9WCQDWur1LoNGwUOKy"
"No photo","Shoot and upload: product shot, model shot, original","Pure 999 Silver Decorative Om Shankh Idol for Pooja & Premium Gifting","Gifting / artifacts / shankam","0","4400","","https://www.sreerasthusilvers.com/admin/products/sgY1rrhiRZZaLaPi3B8O"
"No photo","Shoot and upload: product shot, model shot, original","Pure 999 Silver High-Relief Ganesha Conch Shell Idol for Pooja & Premium Gifting","Gifting / artifacts / shankam","0","2600","","https://www.sreerasthusilvers.com/admin/products/TWCb7L7xTLcCDfrFt6QM"
"No photo","Shoot and upload: product shot, model shot, original","999 Fine Silver Antique Carved Tulasi Vrindavan Stand with Ornate Legs | Divine Home Pooja Decor","Gifting / artifacts / tulasi pot","0","38000","","https://www.sreerasthusilvers.com/admin/products/tSKRM7IK4O7uOzbmvwXd"
"No photo","Shoot and upload: product shot, model shot, original","Handcrafted 999 Pure Silver Ashta Lakshmi Chowki on Wooden Base | Luxury Pooja & Vastu Mandir Artifact","Gifting / artifacts / tulasi pot","0","12000","","https://www.sreerasthusilvers.com/admin/products/88owGTYtx7wbZQKchlFD"
"No photo","Shoot and upload: product shot, model shot, original","Handcrafted 999 Pure Silver Radha Krishna Tulsi Vrindavan Shrine | Luxury Mandir Artifact on Wooden Base","Gifting / artifacts / tulasi pot","0","8000","","https://www.sreerasthusilvers.com/admin/products/gLd3DAEe55w82wAiMhF5"
"No photo","Shoot and upload: product shot, model shot, original","Handcrafted 999 Pure Silver Tulsi Kota (Vrindavan) Idol on Polished Wooden Base | Luxury Mandir Artifact","Gifting / artifacts / tulasi pot","0","6800","","https://www.sreerasthusilvers.com/admin/products/yunbeE3PZWcnXBtK4kQj"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Pure Sterling Silver Rudraksha Bracelet | Traditional Designer Silver Bracelet for Men","Jewellery / Mens / bracelets","0","33600","","https://www.sreerasthusilvers.com/admin/products/YnMueSrouKq4ooosykfS"
"No photo","Shoot and upload: product shot, model shot, original","pendent","Jewellery / Mens / pendents","0","7500","","https://www.sreerasthusilvers.com/admin/products/30jSUpWRky76Zljt9rSr"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Pure Silver Antique Gold Polish Screw bangles - Set of 2 with Goddess Lakshmi Engravings","Jewellery / Womens / BANGLES","0","37200","","https://www.sreerasthusilvers.com/admin/products/JqMbOOcGsm1KVkzKCD37"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Sterling Silver Alternating Gold & Rhodium Polish Bangles","Jewellery / Womens / BANGLES","0","19800","","https://www.sreerasthusilvers.com/admin/products/w0rf1WYqmkBHz7aKytcP"
"No photo","Shoot and upload: product shot, model shot, original","Luxury  Gold Polish 92.5 Pure Silver Multi-Row Kemp Ruby Stone Bangles","Jewellery / Womens / BANGLES","0","29600","","https://www.sreerasthusilvers.com/admin/products/JOrYEpCHuP08dSQPcLKT"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Pure Sterling Silver Gold Polish Multicolor Beads Mala Necklace","Jewellery / Womens / beads mala","0","18700","","https://www.sreerasthusilvers.com/admin/products/HiftPGOst04ZS3hknDLO"
"No photo","Shoot and upload: product shot, model shot, original","Classic Crimson Ruby Multi-Layered Fine Silver Festive Layering Mala","Jewellery / Womens / beads mala","0","23800","","https://www.sreerasthusilvers.com/admin/products/6yFOgdTt2i5B6fP0pPGa"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Pure Silver Black Beads Mangalsutra Necklace with Blue Heart & CZ Leaf Design | Gold Polish","Jewellery / Womens / black beads","0","4200","","https://www.sreerasthusilvers.com/admin/products/PyIyVOXewWjTvSqeCNsd"
"No photo","Shoot and upload: product shot, model shot, original","Divine balaji & Red Coral Double-Strand 92.5 Sterling Silver Gold-Polished Mangalsutra","Jewellery / Womens / black beads","0","8500","","https://www.sreerasthusilvers.com/admin/products/5heLdWBeMMCXeNyyDbQT"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Pure Sterling Silver Gold Polish Grand Lakshmi Bridal Haram Set | Antique Temple Jewellery with Ruby CZ Stones","Jewellery / Womens / BRIDAL SET","0","111000","","https://www.sreerasthusilvers.com/admin/products/bnslUrEnnyP9fTuVcsR4"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Pure Sterling Silver Gold Polish Grand Lakshmi Bridal Necklace Set | Antique Temple Haram with Coral Beads & Peacock Motifs","Jewellery / Womens / BRIDAL SET","0","235100","","https://www.sreerasthusilvers.com/admin/products/6UxYKjaVPfistzBmMV5U"
